CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
122,Female,28,46,44
123,Male,26,43,65
124,Female,26,48,61
125,Female,28,40,69
126,Male,31,49,65
127,Male,32,47,44
128,Male,31,49,50
129,Female,31,35,45
130,Male,31,39,49
131,Female,28,42,64
132,Female,31,31,43
133,Male,33,31,57
134,Male,27,45,43
135,Female,30,32,56
136,Female,26,46,44
137,Male,26,38,58
138,Male,30,43,57
139,Male,28,31,47
140,Male,29,46,64
141,Male,28,37,63
142,Female,26,35,70
143,Female,26,33,45
144,Female,30,42,52
145,Female,31,46,57
146,Male,28,49,63
147,Male,34,35,53
148,Male,30,44,63
149,Female,33,35,65
150,Female,26,45,43
151,Male,30,47,49
152,Male,28,44,70
153,Female,26,50,57
154,Female,29,35,57
155,Male,30,42,70
156,Male,32,46,60
157,Female,26,46,56
158,Male,28,37,65
159,Male,27,34,62
160,Male,34,31,53
161,Female,35,35,67
162,Female,31,40,59
163,Female,35,35,57
164,Female,28,34,44
165,Female,33,32,52
166,Female,33,50,69
167,Female,27,40,49
168,Male,31,49,59
169,Male,32,31,52
170,Male,27,35,49
171,Male,35,43,47
172,Male,27,34,68
173,Male,35,46,54
174,Male,26,46,60
175,Female,33,32,59
176,Female,26,47,66
177,Male,34,50,55
178,Male,31,42,56
179,Female,32,48,61
180,Male,35,33,45
181,Male,32,31,43
182,Female,35,31,52
183,Male,28,49,65
184,Female,27,41,60
185,Male,34,35,67
186,Female,33,42,61
187,Female,35,33,44
188,Female,32,31,61
189,Male,34,31,63
190,Female,29,38,56
191,Male,29,40,65
192,Male,26,41,47
193,Male,33,42,53
194,Male,28,43,61
195,Female,32,42,50
196,Female,27,44,66
197,Male,27,32,47
198,Male,32,49,54
199,Female,31,48,66
200,Male,28,33,45
201,Male,39,62,73
202,Male,38,55,89
203,Male,38,67,85
204,Male,39,66,75
205,Female,44,65,80
206,Female,37,65,77
207,Male,44,55,87
208,Male,36,64,77
209,Female,36,52,82
210,Male,40,61,87
211,Male,41,69,83
212,Male,41,57,90
213,Female,38,56,74
214,Female,42,52,80
215,Female,44,56,73
216,Female,45,68,79
217,Female,43,52,83
218,Male,41,68,88
219,Female,43,65,85
220,Male,40,69,74
221,Male,43,52,85
222,Female,45,70,72
223,Female,39,56,85
224,Male,45,51,78
225,Male,43,65,78
226,Male,45,60,87
227,Female,37,69,82
228,Female,40,67,89
229,Female,44,55,80
230,Female,39,54,79
231,Female,41,60,75
232,Male,36,67,76
233,Female,44,60,90
234,Male,36,67,72
235,Male,40,70,83
236,Male,39,55,76
237,Female,38,52,75
238,Female,41,56,71
239,Female,37,52,76
240,Male,38,63,76
241,Male,40,61,86
242,Male,44,61,74
243,Male,37,66,81
244,Male,45,61,79
245,Male,43,69,73
246,Female,37,65,89
247,Female,40,66,78
248,Female,42,61,75
249,Female,43,66,74
250,Male,36,58,76
251,Male,41,54,72
252,Female,36,58,90
253,Male,37,54,81
254,Female,36,53,74
255,Female,40,53,85
256,Female,45,68,76
257,Male,44,69,87
258,Female,41,69,76
259,Female,36,55,89
260,Female,36,68,72
261,Male,37,60,85
262,Male,44,56,81
263,Female,38,51,78
264,Male,36,55,89
265,Male,40,59,83
266,Male,42,62,82
267,Male,41,64,75
268,Male,36,52,76
269,Male,40,67,74
270,Male,40,64,89
271,Male,41,63,90
272,Male,38,59,71
273,Male,40,65,90
274,Female,42,65,87
275,Female,40,61,82
276,Male,40,66,85
277,Female,40,67,71
278,Female,45,54,84
279,Male,45,51,76
280,Male,38,58,75
281,Male,36,67,81
282,Female,40,53,74
283,Female,44,70,83
284,Male,36,65,81
285,Male,38,65,73
286,Male,39,64,71
287,Female,36,64,76
288,Female,36,52,88
289,Female,43,63,80
290,Female,37,64,75
291,Male,43,69,80
292,Male,42,57,82
293,Male,45,53,72
294,Male,45,65,83
295,Female,37,64,78
296,Female,41,61,72
297,Male,41,65,90
298,Male,38,63,71
299,Female,37,68,75
300,Male,36,56,79
301,Male,51,71,100
302,Female,54,87,98
303,Female,46,81,97
304,Male,50,88,91
305,Female,52,87,92
306,Female,46,77,93
307,Female,49,87,91
308,Female,51,90,99
309,Male,47,79,98
310,Male,55,87,92
311,Female,50,90,99
312,Male,55,78,97
313,Male,46,87,99
314,Male,51,77,96
315,Male,51,71,96
316,Male,49,83,94
317,Female,53,89,100
318,Male,49,89,100
319,Male,53,87,92
320,Male,53,83,97
321,Male,50,86,95
322,Female,49,78,96
323,Female,47,89,92
324,Female,48,88,95
325,Female,48,71,100
326,Male,49,84,94
327,Female,49,89,99
328,Male,55,85,96
329,Male,50,88,92
330,Male,49,72,91
331,Male,55,87,95
332,Male,53,88,99
333,Female,51,76,96
334,Female,51,89,100
335,Female,53,74,97
336,Female,52,71,95
337,Male,55,78,100
338,Female,55,77,96
339,Male,53,73,95
340,Female,47,80,99
341,Male,54,80,96
342,Male,46,89,98
343,Female,53,84,92
344,Male,49,72,99
345,Male,49,71,95
346,Female,50,88,97
347,Male,53,77,100
348,Female,50,78,91
349,Female,53,71,100
350,Female,55,73,95
351,Male,46,78,100
352,Male,55,85,92
353,Male,54,75,96
354,Female,51,73,91
355,Male,48,89,93
356,Female,53,71,95
357,Female,54,85,94
358,Male,51,78,93
359,Female,52,72,100
360,Male,46,73,95
361,Male,50,84,98
362,Male,50,84,94
363,Male,55,81,91
364,Male,49,86,97
365,Female,51,74,98
366,Female,52,90,93
367,Female,54,75,96
368,Male,46,84,92
369,Male,51,86,97
370,Male,52,88,98
371,Female,48,77,96
372,Male,53,80,96
373,Female,50,77,95
374,Female,54,71,98
375,Male,50,89,91
376,Male,54,86,100
377,Female,55,89,94
378,Male,49,74,94
379,Female,54,88,93
380,Male,50,72,93
381,Male,55,71,94
382,Female,54,85,91
383,Male,48,75,92
384,Female,49,90,99
385,Male,54,81,100
386,Female,55,80,92
387,Female,51,72,95
388,Male,47,73,99
389,Female,52,82,99
390,Male,47,90,98
391,Male,47,75,91
392,Male,46,75,91
393,Female,48,76,99
394,Female,51,79,98
395,Male,53,72,100
396,Male,54,82,99
397,Female,52,73,97
398,Male,49,90,93
399,Male,51,82,93
400,Female,50,87,92
401,Male,56,109,42
402,Female,59,103,42
403,Female,68,104,30
404,Male,61,100,35
405,Male,64,101,53
406,Female,68,92,48
407,Male,57,115,45
408,Female,56,116,37
409,Male,68,99,57
410,Male,65,107,30
411,Male,67,116,56
412,Male,69,93,56
413,Female,57,114,45
414,Male,62,96,38
415,Male,58,95,42
416,Female,65,95,40
417,Male,57,112,42
418,Male,69,105,54
419,Female,66,113,50
420,Male,62,107,39
421,Female,68,99,33
422,Female,68,93,60
423,Female,57,110,56
424,Female,58,116,35
425,Male,66,107,57
426,Female,62,119,36
427,Male,69,117,34
428,Male,59,100,40
429,Male,68,93,42
430,Male,69,108,55
431,Male,56,108,54
432,Male,68,120,48
433,Male,69,107,60
434,Male,60,114,52
435,Male,67,93,39
436,Male,64,93,39
437,Female,63,96,40
438,Female,67,103,50
439,Female,70,114,59
440,Male,64,119,36
441,Female,65,105,60
442,Female,69,115,47
443,Female,64,99,33
444,Male,70,94,31
445,Male,62,104,43
446,Male,59,95,42
447,Male,60,92,58
448,Female,56,101,41
449,Female,69,99,36
450,Female,56,114,31
451,Female,58,93,42
452,Male,68,117,43
453,Male,69,118,56
454,Male,63,119,46
455,Female,69,99,38
456,Male,57,93,46
457,Male,59,115,37
458,Female,57,92,60
459,Female,69,102,31
460,Male,60,100,57
461,Male,64,99,53
462,Male,56,105,42
463,Male,60,98,32
464,Male,69,115,45
465,Male,70,95,35
466,Female,64,101,48
467,Female,70,117,59
468,Female,56,92,36
469,Male,64,114,39
470,Female,63,118,38
471,Male,59,105,31
472,Male,67,96,60
473,Female,66,98,57
474,Male,65,117,57
475,Male,60,95,44
476,Female,68,106,59
477,Female,60,116,34
478,Female,66,108,58
479,Male,67,96,51
480,Female,61,95,33
481,Female,62,118,49
482,Male,63,106,33
483,Female,70,103,47
484,Female,69,118,33
485,Female,63,95,56
486,Male,66,103,46
487,Male,69,107,41
488,Male,68,108,51
489,Male,57,98,46
490,Female,64,103,39
491,Male,62,120,51
492,Male,59,119,30
493,Female,59,109,51
494,Female,66,116,55
495,Female,63,93,53
496,Male,59,114,56
497,Male,68,98,47
498,Male,70,92,47
499,Female,61,98,43
500,Female,60,117,44
